objectid,title,creator,date,description,subject,location,source,type,format,object_location,display_template,image_alt_text
1171,Three Families (A Memorial Piece with Scars),Shacks,1989,"Wood set on fire, mixed media",Three Families (A Memorial Piece with Scars),Smithsonian,"Metal, Wood, Clay, Paint",Image;StillImage,image/jpeg,/objects/IMG_1171 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 6/IMG_1171.HEIC
1172a,,Shacks,,Red with black roof,,Smithsonian,"Wood, Tar Paper",Image;StillImage,image/jpeg,/objects/IMG_1172a Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1172a.HEIC
1172b,Home Place,Shacks,,"Dark wood walls, black roof, chimney, yellow windows and door",,Smithsonian,"Wood, Other",Image;StillImage,image/jpeg,/objects/IMG_1172b Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1172b.HEIC
1172c,Barnesville 1989,Shacks,1989,Four white shacks with black roofs and red blue background,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_1172c Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1172c.HEIC
1174,Flye Town,Shacks,,Four shacks,,Smithsonian,Wood,Image;StillImage,image/jpeg,/objects/IMG_1174 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1174.HEIC
1184a,Orangeburg County Family Home,Shacks,,"Bottlecaps, Wooden figure of a Black Person, writing",,Smithsonian,"Wood, License Plate, Found Object(s), Oil Pastel and/or Marker",Image;StillImage,image/jpeg,/objects/IMG_1184a Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1184a.HEIC
1184b,Frank Owen's Blue Shack,Shacks,,Red with blue roof,,Smithsonian,"Wood, Paint",Image;StillImage,image/jpeg,/objects/IMG_1184b Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1184b.HEIC
1184c,The Pink House Shack,Shacks,1989,,,Smithsonian,"Paper, Paint, Metal",Image;StillImage,image/jpeg,/objects/IMG_1184c Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1184c.HEIC
1184d,Inside,Shacks,,Very large wood shack with chair and cot,,Smithsonian,"Metal, Wood",Image;StillImage,image/jpeg,/objects/IMG_1184d Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1184d.HEIC
1187,,Shacks,,Vertical wood panels with porch and chimney,,Smithsonian,Wood,Image;StillImage,image/jpeg,/objects/IMG_1187 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1187.HEIC
1196,,Shacks,,Church with text reading Church of God Pastor Sister Ollie Davis Spearman,,Smithsonian,"Paint, Oil Pastel and/or Marker, Wood",Image;StillImage,image/jpeg,/objects/IMG_1196 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1196.HEIC
1204a,,Shacks,,Orange walls with multicolor square marks and white orange blue roof,,Smithsonian,Paint,Image;StillImage,image/jpeg,/objects/IMG_1204a Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1204a.HEIC
1204b,House Watching,Shacks,2006,Brown with red roof and chimney on blue orange background. Black figure in blue chair sitting beside.,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_1204b Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1204b.HEIC
1204c,Hillside Shack,Shacks,1987,Orange blue walls with purple red orange roof on grey box foundation,,Smithsonian,"Paint, Oil Pastel and/or Marker, Wood",Image;StillImage,image/jpeg,/objects/IMG_1204c Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1204c.HEIC
1211a,Studio/Home,Shacks,,Multicolor walls and roof with text reading studio/home. Includes self-portrait,,Smithsonian,"Oil Pastel and/or Marker, Wood",Image;StillImage,image/jpeg,/objects/IMG_1211a Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1211a.HEIC
1211b,Orangeburg County Family Home,Shacks,,"Bottlecaps, Wooden figure of a Black Person, writing",,Smithsonian,"Wood, License Plate, Found Object(s), Oil Pastel and/or Marker",Image;StillImage,image/jpeg,/objects/IMG_1211b Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1211b.HEIC
1219,Ms. Mary's House,Shacks,,Wood with porch no door no windows,MLF,Smithsonian,Wood,Image;StillImage,image/jpeg,/objects/IMG_1219 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1219.HEIC
1223,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1223 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1223.HEIC
1224,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1224 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1224.HEIC
1225,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1225 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1225.HEIC
1226,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1226 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1226.HEIC
1227,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",,,,,
1228,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1228 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1228.HEIC
1229,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1229 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1229.HEIC
1230,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1230 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1230.HEIC
1231,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1231 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1231.HEIC
1232,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1232 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1232.HEIC
1233,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1233 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1233.HEIC
1234,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1234 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1234.HEIC
1235,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1235 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1235.HEIC
1236,,Shacks,2000,Calendar photo series,Out of Control,Smithsonian,"Photo, Paper, Wood",Image;StillImage,image/jpeg,/objects/IMG_1236 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1236.HEIC
1307,,Shacks,,Photo of shack covered by trees,MLF,Smithsonian,Photo,Image;StillImage,image/jpeg,/objects/IMG_1307 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1307.HEIC
1311,Inside,Shacks,,Very large wood shack with chair and cot,,Smithsonian,"Metal, Wood",Image;StillImage,image/jpeg,/objects/IMG_1311 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1311.HEIC
1320,,Shacks,,Zoomed in photo of stone foundation,MLF,Smithsonian,Photo,Image;StillImage,image/jpeg,/objects/IMG_1320 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1320.HEIC
1321,Home Place,Shacks,1990,"Dark wood walls, black roof, chimney, yellow windows and door",,Smithsonian,"Wood, Paint",Image;StillImage,image/jpeg,/objects/IMG_1321 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1321.HEIC
1369,,Shacks,,Cardboard wood frame fragments with text reading fragile and handle with care ,,Smithsonian,"Wood, Cardboard, Oil Pastel and/or Marker",Image;StillImage,image/jpeg,/objects/IMG_1369 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1369.HEIC
1370,,Shacks,,Cardboard wood frame fragments with text reading fragile and handle with care ,,Smithsonian,"Wood, Cardboard, Oil Pastel and/or Marker",Image;StillImage,image/jpeg,/objects/IMG_1370 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1370.HEIC
1378,Southern Landscape,Shacks,,All metal assemblage,,Smithsonian,Metal,Image;StillImage,image/jpeg,/objects/IMG_1378 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1378.HEIC
1379,Southern Landscape,Shacks,,All metal assemblage,,Smithsonian,Metal,Image;StillImage,image/jpeg,/objects/IMG_1379 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1379.HEIC
1380,Southern Landscape,Shacks,,All metal assemblage,,Smithsonian,Metal,Image;StillImage,image/jpeg,/objects/IMG_1380 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1380.HEIC
1400a,Richard's House,Shacks,1993,Two story wood saturated in multicolor marks and string,,Smithsonian,"Wood, Oil Pastel and/or Marker, Found Object(s), Paint",Image;StillImage,image/jpeg,/objects/IMG_1400a Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1400a.HEIC
1400b,Some Plants,Other?,1993,Plants on a back porch,,Smithsonian,Photo,Image;StillImage,image/jpeg,/objects/IMG_1400b Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_1400b.HEIC
2257 (1),,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2257 (1) Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2257 (1).HEIC
2257 (2),,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2257 (2) Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2257 (2).HEIC
2257,,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2257 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2257.HEIC
2258 (1),,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2258 (1) Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2258 (1).HEIC
2258 (2),,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2258 (2) Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2258 (2).HEIC
2258,,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2258 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2258.HEIC
2259 (1),,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2259 (1) Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2259 (1).HEIC
2259 (2),,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2259 (2) Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2259 (2).HEIC
2259,,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2259 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2259.HEIC
2260 (1),,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2260 (1) Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2260 (1).HEIC
2260 (2),,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2260 (2) Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2260 (2).HEIC
2260,,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2260 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2260.HEIC
2264 (1),,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2264 (1) Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2264 (1).HEIC
2264 (2),,Shacks,1988,Triptych with text reading Old #7 For Daniel's Reserve,,Smithsonian,"Oil Pastel and/or Marker, Paper",Image;StillImage,image/jpeg,/objects/IMG_2264 (2) Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Smithsonian/Logged in April 2026 version/3D Shacks/logged 7/IMG_2264 (2).HEIC
