objectid,title,creator,date,description,subject,location,source,type,format,object_location,image_thumb
6314,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6314.HEIC,/objects/IMG_6314 Small.jpeg
8859,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_8859.HEIC,/objects/IMG_8859 Small.jpeg
8860,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_8860.HEIC,/objects/IMG_8860 Small.jpeg
6288,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6288.HEIC,/objects/IMG_6288 Small.jpeg
6289,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6289.HEIC,/objects/IMG_6289 Small.jpeg
6290,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6290.HEIC,/objects/IMG_6290 Small.jpeg
6291,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6291.HEIC,/objects/IMG_6291 Small.jpeg
6292,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6292.HEIC,/objects/IMG_6292 Small.jpeg
6293,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6293.HEIC,/objects/IMG_6293 Small.jpeg
6294,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6294.HEIC,/objects/IMG_6294 Small.jpeg
6295,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6295.HEIC,/objects/IMG_6295 Small.jpeg
6296,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6296.HEIC,/objects/IMG_6296 Small.jpeg
6297,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6297.HEIC,/objects/IMG_6297 Small.jpeg
6298,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6298.HEIC,/objects/IMG_6298 Small.jpeg
6299,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6299.HEIC,/objects/IMG_6299 Small.jpeg
6300,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6300.HEIC,/objects/IMG_6300 Small.jpeg
6301,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6301.HEIC,/objects/IMG_6301 Small.jpeg
6302,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_6302.HEIC,/objects/IMG_6302 Small.jpeg
8852,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_8852.HEIC,/objects/IMG_8852 Small.jpeg
8853,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_8853.HEIC,/objects/IMG_8853 Small.jpeg
8854,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_8854.HEIC,/objects/IMG_8854 Small.jpeg
8855,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_8855.HEIC,/objects/IMG_8855 Small.jpeg
8856,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_8856.HEIC,/objects/IMG_8856 Small.jpeg
8857,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_8857.HEIC,/objects/IMG_8857 Small.jpeg
8858,Rituals and Ruins,Enviro/Land Art,1970,,Rituals and Ruins,Oconee Cultural Arts Foundation,"Cast Concrete, Dye",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/Rituals and Ruins/IMG_8858.HEIC,/objects/IMG_8858 Small.jpeg
6281,,Shacks,1993,,,Hawthorne Drugs,"Pen and/or Pencil, Paper",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Hawthorne Drugs/Shack Drawing - Hawthorne Drugs/IMG_6281.HEIC,/objects/IMG_6281 Small.jpeg
6282,,Shacks,1993,,,Hawthorne Drugs,"Pen and/or Pencil, Paper",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Hawthorne Drugs/Shack Drawing - Hawthorne Drugs/IMG_6282.HEIC,/objects/IMG_6282 Small.jpeg
6283,,Other?,1990,,Spirit Jar,Hawthorne Drugs,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Hawthorne Drugs/Hawthorne Drugs - Assemblage/IMG_6283.HEIC,/objects/IMG_6283 Small.jpeg
6284,,Other?,1990,,Spirit Jar,Hawthorne Drugs,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Hawthorne Drugs/Hawthorne Drugs - Assemblage/IMG_6284.HEIC,/objects/IMG_6284 Small.jpeg
6285,,Other?,1990,,Spirit Jar,Hawthorne Drugs,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Hawthorne Drugs/Hawthorne Drugs - Assemblage/IMG_6285.HEIC,/objects/IMG_6285 Small.jpeg
6286,,Other?,1990,,Spirit Jar,Hawthorne Drugs,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Hawthorne Drugs/Hawthorne Drugs - Assemblage/IMG_6286.HEIC,/objects/IMG_6286 Small.jpeg
8841,,Other?,1990,,Spirit Jar,Hawthorne Drugs,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Hawthorne Drugs/Hawthorne Drugs - Assemblage/IMG_8841.HEIC,/objects/IMG_8841 Small.jpeg
8842,,Other?,1990,,Spirit Jar,Hawthorne Drugs,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Hawthorne Drugs/Hawthorne Drugs - Assemblage/IMG_8842.HEIC,/objects/IMG_8842 Small.jpeg
8843,,Other?,1990,,Spirit Jar,Hawthorne Drugs,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Hawthorne Drugs/Hawthorne Drugs - Assemblage/IMG_8843.HEIC,/objects/IMG_8843 Small.jpeg
8844,,Other?,1990,,Spirit Jar,Hawthorne Drugs,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Hawthorne Drugs/Hawthorne Drugs - Assemblage/IMG_8844.HEIC,/objects/IMG_8844 Small.jpeg
2501,Memory Piece,Other?,1994,,Spirit Jar,Spelman,"Found Object(s), Text",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2501.HEIC,/objects/IMG_2501 Small.jpeg
